2023-11-07T13:03:40.696817-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=30, sum[0...30]=465, running on CPU=3, start=1699383820.319849, stop=1699383820.351040
2023-11-07T13:03:40.697559-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=31, sum[0...31]=496, running on CPU=3, start=1699383820.351472, stop=1699383820.386121
2023-11-07T13:03:40.698160-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=32, sum[0...32]=528, running on CPU=3, start=1699383820.386528, stop=1699383820.417674
2023-11-07T13:03:40.698768-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=33, sum[0...33]=561, running on CPU=3, start=1699383820.418111, stop=1699383820.449896
2023-11-07T13:03:40.700356-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=34, sum[0...34]=595, running on CPU=3, start=1699383820.450321, stop=1699383820.483531
2023-11-07T13:03:40.701291-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=35, sum[0...35]=630, running on CPU=3, start=1699383820.483953, stop=1699383820.520754
2023-11-07T13:03:40.702420-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=36, sum[0...36]=666, running on CPU=3, start=1699383820.521151, stop=1699383820.561415
2023-11-07T13:03:40.703169-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=37, sum[0...37]=703, running on CPU=3, start=1699383820.561851, stop=1699383820.604715
2023-11-07T13:03:40.704421-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=38, sum[0...38]=741, running on CPU=3, start=1699383820.605145, stop=1699383820.649573
2023-11-07T13:03:40.745021-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=39, sum[0...39]=780, running on CPU=3, start=1699383820.650004, stop=1699383820.743824
2023-11-07T13:03:40.789067-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=40, sum[0...40]=820, running on CPU=3, start=1699383820.744305, stop=1699383820.788662
2023-11-07T13:03:40.835939-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=41, sum[0...41]=861, running on CPU=3, start=1699383820.789090, stop=1699383820.835548
2023-11-07T13:03:40.884215-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=42, sum[0...42]=903, running on CPU=3, start=1699383820.835971, stop=1699383820.883834
2023-11-07T13:03:40.935576-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=43, sum[0...43]=946, running on CPU=3, start=1699383820.884257, stop=1699383820.935034
2023-11-07T13:03:40.983112-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=44, sum[0...44]=990, running on CPU=3, start=1699383820.935444, stop=1699383820.982722
2023-11-07T13:03:41.032892-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=45, sum[0...45]=1035, running on CPU=3, start=1699383820.983149, stop=1699383821.032504
2023-11-07T13:03:41.084050-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=46, sum[0...46]=1081, running on CPU=3, start=1699383821.032928, stop=1699383821.083669
2023-11-07T13:03:41.138144-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=47, sum[0...47]=1128, running on CPU=3, start=1699383821.084095, stop=1699383821.137783
2023-11-07T13:03:41.188887-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=48, sum[0...48]=1176, running on CPU=3, start=1699383821.138177, stop=1699383821.188339
2023-11-07T13:03:41.241353-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=49, sum[0...49]=1225, running on CPU=3, start=1699383821.188765, stop=1699383821.240968
